,Value.temp,Value.humid,Rain
323,86.18000031,43,0
324,86.36000061,43,0
325,86.36000061,43,0
326,85.81999969,43,0
327,85.81999969,43,0
328,85.81999969,43,0
329,85.81999969,43,0
330,86.54000092,43,0
331,86,43,0
332,85.81999969,43,0
333,85.81999969,43,0
334,85.81999969,43,0
335,85.81999969,43,0
336,85.81999969,43,0
337,85.81999969,43,0
338,85.81999969,43,0
339,85.81999969,43,0
340,85.81999969,43,0
341,85.81999969,43,0
342,85.63999939,43,0
343,85.63999939,43,0
344,85.63999939,43,0
345,85.63999939,43,0
346,85.63999939,43,0
347,85.81999969,43,0
348,85.81999969,43,0
349,85.81999969,43,0
350,85.81999969,44,0
351,85.81999969,44,0
352,85.81999969,43,0
353,85.81999969,43,0
354,85.81999969,44,0
355,85.81999969,44,0
356,85.63999939,44,0
357,85.63999939,44,0
358,85.63999939,44,0
359,85.81999969,44,0
360,85.81999969,44,0
361,85.81999969,44,0
362,85.81999969,44,0
363,85.81999969,44,0
364,85.81999969,44,0
365,85.81999969,44,0
366,85.81999969,44,0
367,85.81999969,44,0
368,85.81999969,44,0
369,85.81999969,44,0
370,85.63999939,44,0
371,85.63999939,44,0
372,85.63999939,44,0
373,85.63999939,44,0
374,85.63999939,44,0
375,85.81999969,44,0
376,85.81999969,44,0
377,85.81999969,44,0
378,85.81999969,44,0
379,85.81999969,44,0
380,85.81999969,44,0
381,85.81999969,44,0
382,85.81999969,44,0
383,85.81999969,44,0
384,85.81999969,44,0
385,85.81999969,44,0
386,85.81999969,44,0
387,85.81999969,44,0
388,85.81999969,44,0
389,85.81999969,44,0
390,86,44,0
391,86,44,0
392,85.81999969,44,0
393,85.81999969,44,0
394,86,44,0
395,85.81999969,44,0
396,85.81999969,44,0
397,85.81999969,44,0
398,85.81999969,44,0
399,85.81999969,44,0
400,85.81999969,44,0
401,85.81999969,44,0
402,85.81999969,44,0
403,85.81999969,44,0
404,85.81999969,44,0
405,85.81999969,44,0
406,85.81999969,44,0
407,86,44,0
408,85.81999969,44,0
409,85.81999969,44,0
410,85.81999969,44,0
411,85.81999969,44,0
412,85.81999969,44,0
413,85.81999969,44,0
414,85.81999969,44,0
415,85.63999939,44,0
416,85.63999939,44,0
417,85.63999939,44,0
418,85.63999939,44,0
419,85.63999939,44,0
420,85.81999969,44,0
421,85.81999969,44,0
422,85.81999969,44,0
423,85.81999969,44,0
424,85.81999969,44,0
425,85.81999969,44,0
426,85.81999969,44,0
427,85.81999969,44,0
428,85.81999969,44,0
